# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-06-22 at 09:12:31
#
# Requested input R.A. = 299.16300398 degrees
# Requested input Dec. = 3.4454103 degrees
# Requested JD start = 2459700 days
# Requested JD end = 2459753 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 490 8 2 ZTF_r 1946434643015 0 2.5268 169.063 9.34481 26.234 2.1337e-06 0.0136967 0.0904201 5.89108e-06 1981 30. 0.063824 0.066839 20.0286 26.234 1 2459700.9346412 490120230 -3.05773296194668 39.4347216246389 -0.0862532715331392 0.963528813838232 59.8313470327293 64.1660847459071 0.938725104327453 1.07869690585907 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 1 490 8 2 ZTF_g 1946469763015 0 2.282 107.924 6.56452 26.248 2.3778e-06 0.0143178 -0.0592337 6.60988e-06 1973 30. 0.055162 0.05502 20.4508 26.248 1 2459700.9697685 490120130 -0.861795682801751 26.3059033911724 -0.0364423096843105 1.0169167575993 -111.290366061271 44.8004003614713 -2.50086856759721 1.06989848172234 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 2 490 8 2 ZTF_r 1948430283015 0 2.8261 163.771 9.0478 26.1975 2.5509e-06 0.0149301 0.0932415 7.06609e-06 1987 30. 0.070378 0.07696 19.9698 26.1975 1 2459702.9302894 490120230 -83.5698626784272 38.7024356020375 -2.40196233485118 0.894930131982985 -114.010890684013 60.0599547579666 -1.91106971450309 1.08794714966437 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 3 490 8 2 ZTF_g 1948474673015 0 2.2484 104.33 5.63363 26.2173 2.4821e-06 0.0145843 -0.066525 6.92619e-06 1977 30. 0.058882 0.054197 20.5777 26.2173 1 2459702.9746759 490120130 -27.2705267948221 21.6723794490565 -1.39972181952537 1.01523398238415 -100.164331291169 37.3767854402215 -2.69790306035379 1.06545906879143 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 4 490 8 2 ZTF_r 1954364763015 8 4.9007 164.396 12.8652 26.2293 8.8299e-06 0.0275092 0.103301 2.42587e-05 1924 30. 0.14288 0.142615 19.2091 26.2293 1 2459708.8647685 490120230 -115.307618866671 67.0861983909906 -1.91196361292988 1.21436708685759 -122.796599510011 79.4942340784488 -1.55512714986101 1.24185224778699 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 5 490 8 2 ZTF_r 1954462113015 0 2.659 180.021 9.0039 26.3193 1.8305e-06 0.0126637 0.0848397 5.06883e-06 1983 30. 0.070301 0.069226 20.16 26.3193 1 2459708.9621181 490120230 -83.0495224864533 33.4893960234018 -2.75857391767876 1.1135446364412 -80.1974841147903 53.5580762789689 -1.50747794532273 1.08219452452765 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 6 490 8 2 ZTF_g 1957436003015 0 2.7822 107.92 9.2317 26.2245 6.8171e-06 0.0245023 -0.0494118 1.88851e-05 1980 30. 0.073409 0.078604 19.8367 26.2245 1 2459711.9360069 490120130 -37.7007152560897 43.9367629890484 -0.954500880550332 1.0046632698155 -139.047482969787 68.098386960902 -2.05561367919101 1.08305995313034 2.2044276728686 19.4480001449585 0.0219999998807907 0.321999996900558 0 2458231.982500 2458363.692720 0
 7 490 8 2 ZTF_r 1957461873015 0 2.4278 177.136 9.14193 26.2858 2.9973e-06 0.0162063 0.0895255 8.27616e-06 1984 30. 0.064191 0.065253 20.1574 26.2858 1 2459711.961875 490120230 -43.4676439679749 34.2660822078824 -1.41109563953488 1.04643177302354 -61.5096699717429 56.4839679911158 -1.09631003876526 1.07940201058766 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
 8 490 8 2 ZTF_r 1959402783015 0 1.8455 167.432 14.8815 26.1931 2.6582e-06 0.0152217 0.0882291 7.35851e-06 1980 30. 0.049851 0.054262 19.7371 26.1931 1 2459713.9027894 490120230 -24.4469895680751 48.9813954082561 -0.555199459842049 0.990274696486259 -60.6064081034222 90.0397894536366 -0.677640364545728 1.05576014915673 2.21544564478069 18.9040001869202 0.0260000005364418 0.85699999332428 0.00400000018998981 2458227.000567 2458343.816412 0
