id,ra,decl,field,ccd,quad,filter
1,5.8203,9.3900,500,4,2,gr
2,5.8203,9.3900,1494,12,2,gr
5,15.7500,48.0000,737,9,3,gr
6,15.7500,48.0000,1775,1,3,gr
7,33.7303,52.3780,775,1,1,gr
8,33.7303,52.3780,776,4,2,gr
9,33.7303,52.3780,1777,10,1,gr
12,42.7833,26.0833,1602,16,1,gr
14,42.7833,26.0833,1651,4,3,gr
15,54.4326,17.2541,557,5,3,gr
16,57.1818,4.5365,1448,13,1,gr
17,57.1818,4.5365,1449,16,2,gr
18,57.1818,4.5365,1501,2,3,gr
19,61.9789,16.1212,558,1,2,gr
21,61.9789,16.1212,1554,12,3,gr
23,73.4392,15.9892,1555,10,3,gr
24,77.3427,8.9403,510,3,2,gr
26,77.3825,38.0217,703,4,1,gr
27,77.3825,38.0217,1701,11,2,gr
29,89.3810,15.8350,1557,9,3,gr
30,91.2731,37.9600,1702,9,1,gr
31,92.5567,-21.0078,257,13,2,gr
32,92.5567,-21.0078,1299,6,2,gr
33,93.4332,-2.0131,409,10,3,gr
34,93.4332,-2.0131,1454,3,3,gr
35,95.3422,10.0441,512,5,3,gr
36,95.2952,25.2344,613,8,2,gr
37,95.2952,25.2344,1609,15,3,gr
38,99.0202,51.4833,782,4,3,gr
40,99.0202,51.4833,1784,12,3,gr
41,103.2500,47.1000,746,6,1,gr
42,103.2500,47.1000,1745,13,2,gr
43,105.1575,64.3031,813,13,3,gr
44,105.1575,64.3031,814,16,3,gr
45,105.1575,64.3031,1845,5,3,gr
46,107.2849,4.9810,462,12,3,gr
47,107.2849,4.9810,1508,1,3,gr
48,110.4288,-20.6353,260,15,2,gr
49,110.4288,-20.6353,309,1,3,gr
53,114.4635,-30.6613,1254,1,1,gr
54,114.4635,-30.6613,1255,4,2,gr
56,114.4635,-30.6613,1254,1,1,gr
57,114.4635,-30.6613,1255,4,2,gr
59,115.1908,66.3427,1846,10,3,gr
60,117.7882,18.1274,566,6,2,gr
61,117.7882,18.1274,1561,13,3,gr
62,125.7907,1.9868,464,1,2,gr
63,125.7907,1.9868,1458,9,1,gr
64,126.1035,0.4668,414,16,1,gr
65,126.1035,0.4668,1458,5,1,gr
66,126.1035,0.4668,1459,8,2,gr
67,148.0347,-6.1232,365,14,1,gr
68,148.0347,-6.1232,417,3,3,gr
69,148.0347,-6.1232,1410,10,3,gr
71,153.1393,53.1173,787,8,3,gr
72,153.1393,53.1173,1789,11,2,gr
73,155.7417,10.0313,521,-1,3,gr
74,155.7417,10.0313,1515,-1,3,gr
75,155.9487,0.6447,418,15,1,gr
76,155.9487,0.6447,1463,7,2,gr
77,162.1809,23.6648,621,1,1,gr
78,162.1809,23.6648,622,4,2,gr
79,162.1809,23.6648,1618,11,1,gr
82,174.2586,75.4673,861,7,3,gr
83,174.2586,75.4673,1871,14,3,gr
84,175.7089,1.3266,472,4,3,gr
86,187.7971,-14.1955,320,13,3,gr
87,187.7971,-14.1955,1363,5,2,gr
89,195.0149,12.6824,1572,1,2,gr
92,198.1943,0.8500,424,15,2,gr
94,198.1943,0.8500,1469,7,2,gr
95,198.2292,18.1667,577,5,1,gr
96,198.2292,18.1667,578,8,2,gr
97,198.2292,18.1667,1573,15,3,gr
99,205.5462,28.3778,1672,7,3,gr
100,205.5425,28.3767,1672,7,3,gr
101,210.1542,-14.5297,324,16,3,gr
103,212.8286,25.8523,628,6,1,gr
104,212.8286,25.8523,1625,15,2,gr
106,228.3472,-25.8420,1269,14,3,gr
107,229.6311,2.0876,479,1,1,gr
108,229.6311,2.0876,1473,9,2,gr
109,229.6366,2.0800,479,1,1,gr
110,229.6366,2.0800,1473,9,2,gr
111,229.6417,2.0828,479,1,1,gr
112,229.6417,2.0828,1473,9,2,gr
113,229.6417,2.0828,479,1,1,gr
114,229.6417,2.0828,1473,9,2,gr
115,229.5700,49.0762,759,9,1,gr
116,229.5700,49.0762,760,12,2,gr
117,229.5700,49.0762,1796,2,2,gr
