#CCD quad filter a b c
01 1 g -0.100931565542 0.0164140795095 -0.000613207808481
01 2 g -0.000697776084981 0.00434289411759 -0.000251457721919
01 3 g -0.0490328343662 0.010715473381 -0.000455604243271
01 4 g -0.128899465169 0.020042732487 -0.000731099375212
02 1 g -0.0411067446998 0.00919782491667 -0.000394987611238
02 2 g -0.0077992155422 0.0052923167659 -0.000277319828661
02 3 g -0.0626225755731 0.0118361804841 -0.000471409092206
02 4 g -0.0256738534233 0.0082957288359 -0.000395044497177
03 1 g -0.00431949194819 0.00554378565965 -0.000308636183066
03 2 g -0.151152251271 0.0228461568819 -0.00081579085371
03 3 g -0.105523493708 0.0179035101016 -0.000685276823293
03 4 g 0.0346342742042 0.000403897466563 -0.000140179554075
04 1 g -0.0785631096905 0.0138418648692 -0.000537062660067
04 2 g -0.166723887413 0.0249830582463 -0.00088050229433
04 3 g -0.0377588002093 0.00904806703828 -0.000398101417796
04 4 g 0.012691901233 0.00328236683838 -0.000232453965009
05 1 g -0.107815653837 0.0176502763376 -0.000655885614791
05 2 g 0.00730102877884 0.00284567251073 -0.000186751050227
05 3 g -0.00410938854992 0.00492983479418 -0.000270343856837
05 4 g -0.114757921975 0.0188777312116 -0.000706150173874
06 1 g 0.0130186893131 0.00385860158814 -0.000265435979728
06 2 g -0.0392435584672 0.00989255915978 -0.000442879152476
06 3 g -0.0701481580131 0.013679581851 -0.000554911190727
06 4 g -0.0339507478615 0.00950596145966 -0.000437850749636
07 1 g -0.0725223471646 0.0134081886306 -0.000532175320806
07 2 g -0.0470968729076 0.0105417336517 -0.000454755997323
07 3 g -0.0203191654004 0.00755546888989 -0.000368698423493
07 4 g -0.0526512119375 0.0115694550092 -0.000494037085049
08 1 g -0.0810728140828 0.0143789660937 -0.000563635654389
08 2 g -0.13234635534 0.0215750183086 -0.000794911863851
08 3 g -0.067707941412 0.0128067312754 -0.000507337437615
08 4 g -0.0610696211691 0.0122938643136 -0.000508276802018
09 1 g -0.0174337574233 0.00694254677153 -0.000342699711497
09 2 g -0.0364071516322 0.00900016113418 -0.000397936411034
09 3 g -0.00663194513418 0.00544309252589 -0.000285874529978
09 4 g -0.13002432479 0.0208576434986 -0.000771052822051
10 1 g -0.0891904708811 0.0161914616637 -0.000636440883576
10 2 g -0.103415511922 0.0175932025475 -0.000673172477984
10 3 g -0.0647611521895 0.0127833498539 -0.000524083053198
10 4 g -0.0379465105589 0.00963134265179 -0.000431596446745
11 1 g -0.108353979665 0.0187922577484 -0.000719867900825
11 2 g -0.0241717231708 0.00724157465036 -0.000338029730033
11 3 g -0.00615872393558 0.00546080432838 -0.000298940765086
11 4 g 0.00377387459166 0.0045275051233 -0.000275138481756
12 1 g -0.0313226483583 0.00851490210412 -0.000385744300907
12 2 g 0.0209865339425 0.00142153005287 -0.000152965323147
12 3 g -0.0110556722714 0.00560536817074 -0.000285362111287
12 4 g -0.000316383506804 0.00382525355619 -0.000226247149648
13 1 g -0.112879469604 0.0185875288792 -0.000692964678003
13 2 g -0.0490995188221 0.0100921058102 -0.000419676647057
13 3 g -0.0504297108053 0.0104475129631 -0.000433038449597
13 4 g -0.111560556783 0.0178086129367 -0.000652873933631
14 1 g -0.0959009796377 0.0161000997129 -0.000605487509975
14 2 g -0.137327498299 0.0215229452951 -0.000784582175834
14 3 g -0.0760090750244 0.0142579799314 -0.000572429173749
14 4 g -0.00740789318465 0.00577616566629 -0.000310675507592
15 1 g 0.0233014187916 0.000805957198675 -0.000127476118121
15 2 g -0.140143719435 0.0217664279821 -0.000789454188064
15 3 g -0.0631288949836 0.0122180190717 -0.00049979909285
15 4 g -0.114760438704 0.0177941293001 -0.000643202599287
16 1 g -0.0683314227781 0.01202087232 -0.00046563151736
16 2 g -0.140232873463 0.0213902371086 -0.00076619382695
16 3 g -0.0279321225325 0.00788023700046 -0.000365101051056
16 4 g 0.00259550547961 0.00402268738401 -0.000239157071072
01 1 r 0.123269948076 -0.0125888393784 0.000315581647477
01 2 r 0.145535844467 -0.0155897398966 0.000415893209779
01 3 r 0.138359380695 -0.0152534794356 0.000421620589953
01 4 r 0.139237436205 -0.0152250916975 0.000417061184001
02 1 r 0.109879330304 -0.0118050152633 0.000318148862575
02 2 r 0.128951136822 -0.0137288731392 0.000366995499013
02 3 r 0.0829413680897 -0.00864960450008 0.000229331991721
02 4 r 0.157795289198 -0.0174216101398 0.000479498526047
03 1 r 0.161319770432 -0.0174678022187 0.000469151115291
03 2 r 0.225457425873 -0.0253791317455 0.000711035272007
03 3 r 0.2017146625 -0.0225122411485 0.000628752678393
03 4 r 0.23883948002 -0.0270729864416 0.000764889474085
04 1 r 0.100952732944 -0.0102592409917 0.000262380315778
04 2 r 0.164249661132 -0.018142478853 0.000497954029775
04 3 r 0.22183238404 -0.0253467024562 0.000722168011628
04 4 r 0.213733378889 -0.0238851274772 0.00066712972309
05 1 r 0.191407226178 -0.0217384870474 0.000619737275051
05 2 r 0.180503009757 -0.019911635786 0.000544720366027
05 3 r 0.168884748048 -0.0180615879882 0.000478513380795
05 4 r 0.145034683563 -0.0152127906194 0.000393346771315
06 1 r 0.242437952054 -0.026454469065 0.000716669915233
06 2 r 0.253735742205 -0.0283827373384 0.000788386132887
06 3 r 0.18627336881 -0.0206972875976 0.000571965159247
06 4 r 0.196756957316 -0.021654834354 0.000591116621805
07 1 r 0.0807964152147 -0.00764835937518 0.000181011711628
07 2 r 0.17329201432 -0.0183506148378 0.000482508037431
07 3 r 0.20214310244 -0.022018548487 0.00059732493995
07 4 r 0.202060793305 -0.0227329801823 0.000640493229902
08 1 r 0.13074718835 -0.0138684632535 0.000366628173912
08 2 r 0.143742892635 -0.0152152148388 0.000399655752826
08 3 r 0.207446617672 -0.0228075800158 0.00062397193711
08 4 r 0.229307449804 -0.0259810523615 0.000736524550995
09 1 r 0.188038813255 -0.0205011069212 0.000556529534865
09 2 r 0.108702269032 -0.0110669732699 0.000271588349334
09 3 r 0.226389515756 -0.0256511766594 0.000724034882444
09 4 r 0.181275379723 -0.0205655964164 0.00058353948427
10 1 r 0.119236203278 -0.0125846543603 0.000327467194914
10 2 r 0.11142554771 -0.0118958085925 0.000316892493529
10 3 r 0.170642666201 -0.0184392175418 0.00049310937215
10 4 r 0.181289431779 -0.0201357772135 0.000554598288899
11 1 r 0.136825269818 -0.0141077897354 0.000357505390699
11 2 r 0.135654902588 -0.0148880819674 0.000407903336337
11 3 r 0.0837282150873 -0.00766631599845 0.000164980118517
11 4 r 0.322459180556 -0.0373135030122 0.00107857347039
12 1 r 0.146662978238 -0.0162736491623 0.000453542533752
12 2 r 0.15320953396 -0.0171162673698 0.000478974053882
12 3 r 0.224708565947 -0.0250000530964 0.000692498247163
12 4 r 0.248654833902 -0.0282952455694 0.000802121886144
13 1 r 0.0645160985424 -0.00576031455827 0.000120788426316
13 2 r 0.155800512543 -0.0174220454539 0.000490303321508
13 3 r 0.172347382518 -0.0184743295762 0.000489011387679
13 4 r 0.11369718435 -0.0114916263811 0.000287481641458
14 1 r 0.143570505524 -0.0148222801527 0.000375343332027
14 2 r 0.162864079523 -0.0171144820087 0.000441992754535
14 3 r 0.101880496105 -0.00975199698391 0.000222652699375
14 4 r 0.136883014058 -0.0139682943352 0.000347870999986
15 1 r 0.09335719276 -0.00951558064542 0.000241214045352
15 2 r 0.177236180697 -0.0202830432836 0.000581058805171
15 3 r 0.147231708622 -0.0163558051686 0.000456779762215
15 4 r 0.226025425349 -0.0251122375691 0.000694099595624
16 1 r 0.0886559619967 -0.0089670356814 0.000221457529276
16 2 r 0.122902377953 -0.0129126844257 0.000337586587012
16 3 r 0.15036230791 -0.0160913944361 0.000425424367223
16 4 r 0.201269207432 -0.0215844321628 0.000572146538748
