# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-09-08 at 02:26:29
#
# Requested input R.A. = 295.8922828 degrees
# Requested input Dec. = 2.4652352 degrees
# Requested JD start = 2459800 days
# Requested JD end = 2459831.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 489 2 1 ZTF_r 2047338130515 0 1.3346 278.472 20.037 26.3258 4.8898e-06 0.0191359 0.0710604 8.24486e-06 2000 30. 0.075941 0.082802 19.7587 26.3258 1 2459801.8381366 489120205 1.60621922118869 53.566150052621 0.0333556329558917 1.03365117429649 -41.1963710542181 111.628230759145 -0.371535324903463 1.03131878425378 0.0655176623445043 22.3670000076294 0.17399999499321 0.601000010967255 -0.00300000002607703 2458218.987222 2458340.795937 0
 1 1483 11 0 ZTF_g 2048343124015 4194304 2.055 494.135 24.1458 26.3701 9.402e-06 0.0266374 -0.0350235 1.83479e-05 1918 30. 0.064504 0.061665 19.095 26.3701 2 2459802.843125 1483120140 74.522018831597 108.351589806436 0.765075200430536 0.962269910774612 195.095322077891 196.949803894898 0.997255627640488 1.05110114233959 null null null null null 2459060.841574 2459762.873426 57
 2 489 2 1 ZTF_g 2051287780515 0 1.8914 117.962 15.2565 26.3526 4.2007e-06 0.0178415 -0.0609834 7.09049e-06 1998 30. 0.053608 0.055964 19.7278 26.3526 1 2459805.7877894 489120105 -32.3635638605915 53.1581462096866 -0.677237992429681 0.988974324646369 -21.301211408114 104.600669856571 -0.205014712830386 1.04172887252981 null null null null null 2458228.981354 2458338.871574 57
 3 489 2 1 ZTF_r 2051297500515 0 1.3757 262.589 15.3287 26.2553 4.6115e-06 0.0186106 0.075173 7.76478e-06 2000 30. 0.056916 0.077801 19.9938 26.2553 1 2459805.7975 489120205 76.5516658757898 39.6038659288 2.15016538259043 1.1494848636943 43.4832849592036 82.7701252437676 0.528888258369609 1.02982508550497 0.0655176623445043 22.3670000076294 0.17399999499321 0.601000010967255 -0.00300000002607703 2458218.987222 2458340.795937 0
 4 1483 11 0 ZTF_g 2052289794015 0 2.2569 460.333 13.6807 26.2948 4.8085e-06 0.0190124 -0.0256939 9.43112e-06 1934 30. 0.06131 0.064662 19.6196 26.2948 2 2459806.7897917 1483120140 15.1053302650868 63.0094107387937 0.266673344787286 0.954403683870659 -27.0416182514943 109.553982463903 -0.248496170508682 1.05680252524183 null null null null null 2459060.841574 2459762.873426 57
 5 489 2 1 ZTF_g 2053268390515 0 1.8483 117.952 10.1242 26.3513 3.2229e-06 0.0154965 -0.0547843 5.44678e-06 1994 30. 0.052358 0.051659 20.2457 26.3513 1 2459807.7683912 489120105 -3.54481868247371 34.458942355777 -0.114431840589276 0.895457713800479 -66.0419650786765 67.0755129772047 -0.991222557415177 1.0419809849383 null null null null null 2458228.981354 2458338.871574 57
 6 489 2 1 ZTF_r 2053312910515 0 1.5738 274.443 11.2361 26.3221 2.7091e-06 0.0141874 0.0776501 4.56229e-06 1994 30. 0.054638 0.066179 20.4012 26.3221 1 2459807.8129167 489120205 152.159518469259 29.8114994025989 5.67766947345971 1.11402988317262 214.251373075044 59.9184517615047 3.59979876079197 1.03288134197041 0.0655176623445043 22.3670000076294 0.17399999499321 0.601000010967255 -0.00300000002607703 2458218.987222 2458340.795937 0
 7 489 2 1 ZTF_r 2055273480515 0 1.6606 271.841 9.48108 26.3211 3.042e-06 0.0150956 0.0669776 5.13681e-06 1993 30. 0.054368 0.065379 20.604 26.3211 1 2459809.7734838 489120205 -67.0367528482721 23.272559411302 -3.20422956322463 1.05409186885868 -209.846128401016 46.2273831799835 -4.57000677124095 1.03827257377964 0.0655176623445043 22.3670000076294 0.17399999499321 0.601000010967255 -0.00300000002607703 2458218.987222 2458340.795937 0
 8 489 2 1 ZTF_g 2055332730515 0 2.3388 107.541 9.36904 26.274 5.0135e-06 0.0193099 -0.0714544 8.43323e-06 1989 30. 0.068205 0.073785 19.9681 26.274 1 2459809.8327315 489120105 -13.2512023801489 41.8142107999837 -0.352521966069885 0.974598250482196 -38.8273240391504 73.6586582686254 -0.530675269130315 1.04671974428905 null null null null null 2458228.981354 2458338.871574 57
